source,target,type
B007K449EC,B00AE07932,type1
B007K449CE,B007K449EC,type1
B007K449CE,B00AE07932,type1
B007K449CE,B00GTBZI6A,type1
B006L16BHS,B008RTNSJQ,type1
B00639DLV2,B009FKNGRA,type1
B00AO4E9L8,B00GTC1JHQ,type1
B0045K1N8E,B006FRS9O6,type1
B0045K1N8E,B004J6WCBQ,type1
B00GLS58OS,B00GLS58SO,type1
B00GLS58OS,B00GLS593S,type1
B001CE6T76,B006U95N34,type1
B000KNHJ5G,B0035RE2TA,type1
B009CZR3Y0,B00G2TQNZ4,type1
B00GTC1FFW,B00GXZS5VW,type1
B002ON11RW,B008FX7B9M,type1
B002ON11RW,B002QANC2A,type1
B00GFBWWWC,B00HJD8NLY,type1
B004UKENRC,B00AE07BDU,type1
B001Q878WI,B00FAEOCP0,type1
B00A0IWRUI,B00A0IWSN4,type1
B000H8UN3Y,B0068G8DTA,type1
B00HM6IXH2,B00HM6JLNW,type1
B00AE07FUE,B00ALV8EJM,type1
B00AE07FUE,B00ALV8EL0,type1
B003RF82RI,B006UETAB0,type1
B003RF82RI,B004Y9GY44,type1
B00HSNWXVQ,B00HSNWZKU,type1
B004TSF8R4,B004TSFBJO,type1
B004UDQ6GK,B004UQPCGM,type1
B0002Z8HAI,B000L9YYTS,type1
B005UBN2AO,B00GTC0E1I,type1
B008CEDY5O,B009CZR3Y0,type1
B00AE07932,B00AE07CTI,type1
B00AE07932,B00GTBZI6A,type1
B005C1C02S,B008U1Q4DI,type1
B0039UTO3M,B0094GHGQM,type1
B00HSNWXV6,B00HSNWXZM,type1
B001EM1BBK,B003ZX32ZO,type1
B001EM1BBK,B005TKZS76,type1
B000YZGOZQ,B002MO780W,type1
B000E0K7NQ,B002MO780W,type1
B000E0K7NQ,B007RTR8A2,type1
B000E0K7NQ,B007RTR898,type1
B00G5WO2VK,B00H93NJLS,type1
B00G5WO2VK,B00IT1HKV4,type1
B00GTC1HB4,B00GUC7XAW,type1
B00GTC1HB4,B00GTC1HCI,type1
B007RTR89S,B007RTR8TS,type1
B004M7WKKK,B0061KQEVW,type1
B00EA4MHN0,B00GZ18LL8,type1
B000KVH1QU,B005D0WXPC,type1
B00ALV8EJW,B00ALV8EL0,type1
B00005NAOD,B00006JT6O,type1
B0028K3J6W,B00HB2JQNM,type1
B00GLS554Q,B00GLS58OS,type1
B00GLS554Q,B00GLS593S,type1
B00GLS554Q,B00GLS55DC,type1
B00AAJTDLI,B00AE07EGO,type1
B00A0IWRRG,B00A0IWRT4,type1
B00A0IWRRG,B00A0IWRUI,type1
B00A0IWRRG,B00A0IWSIO,type1
B00A0IWRRG,B00A0IWRU8,type1
B00GTC1HCI,B00GUC7XAW,type1
B00D6EDGYE,B00D6EDGZI,type1
B005BG02BU,B005XUFU8E,type1
B00AE07BDU,B00AE07BI0,type1
B00AE07BDU,B00AE07BMQ,type1
B0027CT5TG,B0027CT5VO,type1
B009GEUOZ2,B00D6EDGZI,type1
B007RTR9E2,B007RTR9FQ,type1
B007RTR9E2,B00AE078TM,type1
B007RTR8AC,B007RTR8UM,type1
B00GTC0DFK,B00GTC0DYQ,type1
B002L6NZHG,B0030HAF4G,type1
B002MO780W,B007RTR898,type1
B002MO780W,B007RTR9FQ,type1
B002TSA90M,B008VSYO5A,type1
B002TSA90M,B002TSA916,type1
B002TSA90M,B009VGNYFM,type1
B0026J10CU,B008FX7B9M,type1
B007RTR8AM,B007RTR8UW,type1
B001HKR6WM,B006SVCY6I,type1
B00HNKRWI8,B00HNKRWII,type1
B00HNKRWI8,B00HNKRWX8,type1
B007RTR8A2,B007RTR8UC,type1
B007RTR8A2,B007RTR8T8,type1
B007RTR8A2,B007RTR8AM,type1
B007RTR8A2,B007RTR9FQ,type1
B001A5S3BM,B001E7BEEE,type1
B005TI7LD2,B00AO4EMKQ,type1
B005TI7LD2,B00AO4EL34,type1
B004220C6E,B004B3YC9M,type1
B004220C6E,B007TLJP2W,type1
B005TI7NPI,B005TI7NQW,type1
B007JT7AIK,B00AAIOP44,type1
B007JT7AIK,B00AE07932,type1
B007JT7AIK,B007JT7ARQ,type1
B00AE07BI0,B00AE07BMQ,type1
B007JT7ARQ,B007K449CE,type1
B007JT7ARQ,B00AE07932,type1
B007JT7ARQ,B00GTBZI6A,type1
B001KYO7OA,B002S8PU02,type1
B0019N6RFO,B00CDGR29G,type1
B0019N6RFO,B00ANFYEQS,type1
B0019N6RFO,B005VX8S4G,type1
B0043TUSME,B00AV1IJME,type1
B001ECQ5CA,B0027CT5VO,type1
B00132ZG3U,B002JSL6QI,type1
B005BF1M10,B005C1C02S,type1
B005BF1M10,B008U1Q4DI,type1
B005R3UYEW,B0062MAAAK,type1
B0090UJFYI,B00C7DYBX0,type1
B00HM6JLNW,B00HNKRWX8,type1
B00HM6JLNW,B00HNKRWI8,type1
B00028M3N2,B000UWH3SU,type1
B005TI7LHS,B0089JVDPK,type1
B005TI7LHS,B00AO4EMKQ,type1
B005TI7LHS,B00AO4EL34,type1
B00A0IWRU8,B00A0IWRUI,type1
B00A0IWRU8,B00A0IWSN4,type1
B00G75X158,B00GCQMSVA,type1
B007TL60IE,B008PTPSF0,type1
B004Y9GY44,B006UETAB0,type1
B00GTBZHUW,B00GTBZN4C,type1
B0027CT5SC,B0027CT5VO,type1
B0027CT5SC,B0027CT5TG,type1
B001GIOW3G,B003QOZ2C8,type1
B007RTR898,B007RTR9FQ,type1
B00006IV2F,B000F5AG5E,type1
B00GTC03OG,B00HM6JLNW,type1
B004GFR3GY,B005V2LLXC,type1
B001ECQ4JE,B001ECQ5CA,type1
B001ECQ4JE,B001ECQ4OY,type1
B002LFNQT4,B006UET4XE,type1
B00A0IWT9C,B00A0IWTDI,type1
B005KJ35D0,B008EKY8VK,type1
B004TSFE6Y,B007O7AZBG,type1
B006RFZ81S,B0081E6X1W,type1
B003VGMOR2,B006FRS9O6,type1
B003VGMOR2,B004J6WCBQ,type1
B003VGMOR2,B0045K1N8E,type1
B00A0IWTBA,B00A0IWTEW,type1
B006L6A06Q,B00HNKRWII,type1
B006L6A06Q,B006L6A10G,type1
B00GTBZI6A,B00HSNWXVQ,type1
B00GTBZI6A,B00HSNWZKU,type1
B0009V8N5E,B000IOFQWK,type1
B00AO4E9E0,B00AO4E9MC,type1
B00178VX50,B007U90J5U,type1
B00ANFYEQS,B00CDGR29G,type1
B001E7BEEE,B001J2ZXMI,type1
B001IACZEK,B005HO0A1I,type1
B00GTBZOVE,B00GTBZWPW,type1
B00GTBZOVE,B00GTBZXTC,type1
B00GTBZOVE,B00GTC03OG,type1
B00GTBZOVE,B00GTC03AU,type1
B00GTBZOVE,B00HSNWZFU,type1
B0016A8DT8,B0017ZDH52,type1
B00GTC03AU,B00GTC03OG,type1
B00GTC03AU,B00HSNWZFU,type1
B0013CSGBE,B0028RC5N8,type1
B00AO4EL34,B00AO4EMKQ,type1
B00GCQMSVA,B00GFBWWWC,type1
B00GCQMSVA,B00IDWP4IA,type1
B001RMP7M6,B006IBM21K,type1
B004675EI6,B0094G3M6A,type1
B004D268RA,B0081E6X1W,type1
B0046VGIRI,B006UETAB0,type1
B000PQGYOU,B0019N6RFO,type1
B00631JA8S,B007RT19V6,type1
B00631JA8S,B006U95N34,type1
B00AWLB9EI,B00AWLBAE2,type1
B00008MNZH,B003WN1ELQ,type1
B00HM6IV6K,B00HM6IVXI,type1
B00HM6IV6K,B00HSNX1AS,type1
B0063A432W,B009FKNGGQ,type1
B0000530EZ,B005F4BH8A,type1
B0000530EZ,B000BH92J2,type1
B000P6BRHY,B001KYO7OA,type1
B005VX8S4G,B00CDGR29G,type1
B00EOP3MJI,B00EOP3O3C,type1
B001ECQ4OY,B001ECQ5CA,type1
B001C6H6F8,B005UL1B34,type1
B001C6H6F8,B002QANC2A,type1
B001C6H6F8,B0026J10CU,type1
B001C6H6F8,B007Q22HMY,type1
